,cat_x1,cat_y1
0,678.0,2643.5
1,679.0,2643.5
2,678.0,2643.5
3,679.0,2644.5
4,679.0,2643.5
5,678.0,2643.5
6,678.0,2643.5
7,679.0,2643.5
8,679.0,2644.5
9,679.0,2643.5
10,678.0,2643.5
11,678.0,2643.5
12,678.0,2644.5
13,678.0,2643.5
14,679.0,2643.5
15,678.0,2643.5
16,678.0,2643.5
17,678.0,2643.5
18,678.0,2644.5
19,678.0,2643.5
20,678.0,2643.5
21,678.0,2643.5
22,678.0,2643.5
23,678.0,2643.5
24,678.0,2643.5
25,678.0,2644.5
26,678.0,2643.5
27,678.0,2643.5
28,678.0,2643.5
29,678.0,2643.5
30,677.0,2644.5
31,678.0,2643.5
32,678.0,2643.5
33,677.0,2643.5
34,677.0,2644.5
35,677.0,2644.5
36,678.0,2643.5
37,678.0,2643.5
38,678.0,2644.5
39,678.0,2642.5
40,677.0,2644.5
41,679.0,2643.5
42,678.0,2643.5
43,677.0,2643.5
44,678.0,2643.5
45,678.0,2644.5
46,678.0,2643.5
47,679.0,2644.5
48,678.0,2643.5
49,678.0,2644.5
50,678.0,2643.5
51,679.0,2643.5
52,678.0,2644.5
53,678.0,2644.5
54,678.0,2643.5
55,678.0,2644.5
56,678.0,2644.5
57,678.0,2643.5
58,678.0,2644.5
59,678.0,2644.5
60,679.0,2643.5
61,679.0,2644.5
62,678.0,2644.5
63,677.0,2644.5
64,677.0,2643.5
65,677.0,2644.5
66,677.0,2644.5
67,677.0,2644.5
68,677.0,2645.5
69,677.0,2643.5
70,677.0,2644.5
71,677.0,2643.5
72,678.0,2644.5
73,678.0,2644.5
74,677.0,2644.5
75,677.0,2644.5
76,678.0,2643.5
77,678.0,2644.5
78,678.0,2643.5
79,678.0,2644.5
80,677.0,2643.5
81,677.0,2643.5
82,679.0,2643.5
83,678.0,2643.5
84,678.0,2643.5
85,678.0,2643.5
86,677.0,2643.5
87,677.0,2643.5
88,678.0,2643.5
89,678.0,2643.5
90,678.0,2643.5
91,678.0,2643.5
92,678.0,2643.5
93,678.0,2644.5
94,679.0,2643.5
95,679.0,2643.5
96,678.0,2644.5
97,678.0,2643.5
98,678.0,2643.5
99,677.0,2644.5
100,678.0,2644.5
101,678.0,2643.5
102,677.0,2643.5
103,677.0,2644.5
104,677.0,2643.5
105,677.0,2643.5
106,678.0,2644.5
107,678.0,2643.5
108,678.0,2643.5
109,678.0,2644.5
110,678.0,2643.5
111,678.0,2643.5
112,678.0,2644.5
113,677.0,2643.5
114,678.0,2644.5
115,678.0,2644.5
116,679.0,2643.5
117,679.0,2644.5
118,678.0,2643.5
119,678.0,2644.5
120,678.0,2643.5
121,678.0,2643.5
122,679.0,2644.5
123,679.0,2643.5
124,678.0,2644.5
125,678.0,2643.5
126,678.0,2644.5
127,678.0,2643.5
128,678.0,2644.5
129,679.0,2644.5
130,678.0,2644.5
131,678.0,2643.5
132,678.0,2644.5
133,678.0,2644.5
134,678.0,2644.5
135,678.0,2643.5
136,678.0,2644.5
137,679.0,2644.5
138,679.0,2643.5
139,679.0,2643.5
140,679.0,2644.5
141,679.0,2644.5
142,678.0,2643.5
143,678.0,2644.5
144,678.0,2643.5
145,678.0,2644.5
146,679.0,2643.5
147,679.0,2644.5
148,679.0,2643.5
149,679.0,2644.5
150,679.0,2643.5
151,679.0,2644.5
152,678.0,2643.5
153,678.0,2644.5
154,678.0,2644.5
155,678.0,2643.5
156,678.0,2644.5
157,678.0,2644.5
158,678.0,2643.5
159,679.0,2644.5
160,678.0,2644.5
161,678.0,2644.5
162,678.0,2643.5
163,678.0,2644.5
164,678.0,2644.5
165,677.0,2643.5
166,678.0,2644.5
167,678.0,2643.5
168,678.0,2644.5
169,678.0,2644.5
170,678.0,2643.5
171,678.0,2644.5
172,678.0,2643.5
173,678.0,2644.5
174,678.0,2643.5
175,678.0,2644.5
176,677.0,2643.5
177,678.0,2644.5
178,677.0,2643.5
179,678.0,2644.5
180,678.0,2643.5
181,678.0,2644.5
182,678.0,2643.5
183,678.0,2644.5
184,678.0,2643.5
185,678.0,2643.5
186,678.0,2644.5
187,679.0,2643.5
188,678.0,2643.5
189,678.0,2644.5
190,678.0,2643.5
191,678.0,2643.5
192,678.0,2644.5
193,678.0,2643.5
194,679.0,2644.5
195,678.0,2643.5
196,678.0,2643.5
197,678.0,2644.5
198,678.0,2643.5
199,678.0,2643.5
200,678.0,2644.5
201,678.0,2643.5
202,678.0,2644.5
203,678.0,2643.5
204,678.0,2644.5
205,678.0,2643.5
206,678.0,2644.5
207,678.0,2643.5
208,678.0,2643.5
209,678.0,2644.5
210,678.0,2643.5
211,678.0,2644.5
212,678.0,2643.5
213,678.0,2643.5
214,678.0,2644.5
215,678.0,2643.5
216,678.0,2644.5
217,678.0,2643.5
218,678.0,2643.5
219,678.0,2644.5
220,678.0,2643.5
221,678.0,2643.5
222,677.0,2643.5
223,678.0,2644.5
224,678.0,2643.5
225,678.0,2644.5
226,678.0,2643.5
227,678.0,2643.5
228,678.0,2643.5
229,678.0,2643.5
230,678.0,2643.5
231,678.0,2643.5
232,678.0,2642.5
233,678.0,2642.5
234,679.0,2642.5
235,678.0,2642.5
236,678.0,2642.5
237,678.0,2641.5
238,679.0,2641.5
239,679.0,2642.5
240,678.0,2641.5
241,679.0,2641.5
242,679.0,2641.5
243,679.0,2641.5
244,679.0,2641.5
245,679.0,2640.5
246,678.0,2641.5
247,679.0,2640.5
248,679.0,2640.5
249,678.0,2640.5
250,679.0,2640.5
251,679.0,2640.5
252,679.0,2640.5
253,679.0,2640.5
254,678.0,2639.5
255,678.0,2640.5
256,679.0,2639.5
257,679.0,2639.5
258,679.0,2639.5
259,678.0,2639.5
260,678.0,2639.5
261,679.0,2638.5
262,679.0,2638.5
263,679.0,2638.5
264,679.0,2638.5
265,679.0,2638.5
266,679.0,2637.5
267,679.0,2637.5
268,679.0,2637.5
269,679.0,2637.5
270,679.0,2636.5
271,679.0,2636.5
272,679.0,2636.5
273,679.0,2636.5
274,679.0,2635.5
275,679.0,2635.5
276,679.0,2634.5
277,679.0,2633.5
278,679.0,2633.5
279,679.0,2632.5
280,678.0,2632.5
281,678.0,2631.5
282,678.0,2630.5
283,679.0,2631.5
284,679.0,2629.5
285,679.0,2629.5
286,678.0,2629.5
287,678.0,2628.5
288,679.0,2628.5
289,680.0,2627.5
290,679.0,2627.5
291,679.0,2626.5
292,679.0,2626.5
293,679.0,2624.5
294,679.0,2624.5
295,679.0,2624.5
296,679.0,2623.5
297,680.0,2622.5
298,680.0,2622.5
299,680.0,2621.5
300,680.0,2620.5
301,680.0,2620.5
302,680.0,2620.5
303,680.0,2619.5
304,680.0,2619.5
305,680.0,2619.5
306,680.0,2617.5
307,680.0,2617.5
308,679.0,2617.5
309,680.0,2617.5
310,680.0,2615.5
311,680.0,2615.5
312,680.0,2615.5
313,680.0,2614.5
314,680.0,2613.5
315,680.0,2613.5
316,679.0,2612.5
317,679.0,2612.5
318,680.0,2610.5
319,680.0,2610.5
320,680.0,2609.5
321,680.0,2608.5
322,680.0,2608.5
323,680.0,2607.5
324,679.0,2605.5
325,680.0,2606.5
326,680.0,2605.5
327,680.0,2604.5
328,680.0,2602.5
329,680.0,2602.5
330,680.0,2602.5
331,680.0,2600.5
332,680.0,2601.5
333,680.0,2600.5
334,680.0,2600.5
335,680.0,2600.5
336,680.0,2600.5
337,680.0,2600.5
338,680.0,2600.5
339,680.0,2600.5
340,680.0,2600.5
341,680.0,2600.5
342,680.0,2600.5
343,680.0,2600.5
344,680.0,2599.5
345,680.0,2600.5
346,680.0,2600.5
347,680.0,2600.5
348,680.0,2600.5
349,680.0,2600.5
350,680.0,2600.5
351,680.0,2600.5
352,680.0,2600.5
353,680.0,2601.5
354,680.0,2600.5
355,680.0,2599.5
356,680.0,2600.5
357,680.0,2600.5
358,680.0,2600.5
359,681.0,2600.5
360,680.0,2600.5
361,680.0,2600.5
362,680.0,2599.5
363,680.0,2600.5
364,680.0,2600.5
365,680.0,2599.5
366,681.0,2600.5
367,680.0,2599.5
368,680.0,2600.5
369,680.0,2599.5
370,680.0,2600.5
371,680.0,2599.5
372,680.0,2600.5
373,680.0,2599.5
374,681.0,2600.5
375,681.0,2600.5
376,680.0,2599.5
377,680.0,2600.5
378,680.0,2600.5
379,680.0,2599.5
380,680.0,2600.5
381,680.0,2600.5
382,680.0,2600.5
383,680.0,2600.5
384,681.0,2599.5
385,681.0,2600.5
386,680.0,2600.5
387,680.0,2599.5
388,681.0,2600.5
389,681.0,2600.5
390,680.0,2599.5
391,680.0,2600.5
392,681.0,2600.5
393,681.0,2599.5
394,681.0,2600.5
395,681.0,2600.5
396,681.0,2600.5
397,681.0,2599.5
398,681.0,2600.5
399,681.0,2600.5
400,681.0,2600.5
401,681.0,2600.5
402,681.0,2599.5
403,680.0,2600.5
404,680.0,2600.5
405,680.0,2599.5
406,680.0,2600.5
407,680.0,2600.5
408,680.0,2599.5
409,680.0,2600.5
410,680.0,2599.5
411,680.0,2600.5
412,680.0,2599.5
413,680.0,2600.5
414,680.0,2599.5
415,680.0,2600.5
416,680.0,2599.5
417,680.0,2600.5
418,680.0,2600.5
419,680.0,2600.5
420,680.0,2599.5
421,681.0,2600.5
422,681.0,2600.5
423,681.0,2599.5
424,681.0,2600.5
425,681.0,2599.5
426,680.0,2600.5
427,680.0,2600.5
428,680.0,2598.5
429,680.0,2597.5
430,680.0,2596.5
431,680.0,2594.5
432,680.0,2594.5
433,680.0,2594.5
434,680.0,2593.5
435,680.0,2592.5
436,681.0,2591.5
437,680.0,2590.5
438,680.0,2589.5
439,680.0,2589.5
440,680.0,2587.5
441,680.0,2586.5
442,681.0,2586.5
443,681.0,2585.5
444,680.0,2585.5
445,680.0,2584.5
446,680.0,2584.5
447,680.0,2582.5
448,680.0,2582.5
449,680.0,2581.5
450,680.0,2581.5
451,680.0,2580.5
452,680.0,2579.5
453,680.0,2579.5
454,680.0,2579.5
455,681.0,2577.5
456,681.0,2577.5
457,681.0,2576.5
458,680.0,2575.5
459,681.0,2575.5
460,681.0,2574.5
461,681.0,2574.5
462,681.0,2573.5
463,681.0,2572.5
464,681.0,2571.5
465,681.0,2570.5
466,681.0,2570.5
467,681.0,2569.5
468,681.0,2568.5
469,681.0,2568.5
470,682.0,2567.5
471,682.0,2568.5
472,682.0,2566.5
473,682.0,2566.5
474,681.0,2565.5
475,682.0,2564.5
476,682.0,2564.5
477,682.0,2563.5
478,682.0,2563.5
479,682.0,2563.5
480,681.0,2562.5
481,681.0,2561.5
482,681.0,2562.5
483,682.0,2560.5
