,cat_x1,cat_y1
0,673.0,2645.5
1,675.0,2645.5
2,674.0,2645.5
3,673.0,2645.5
4,673.0,2645.5
5,673.0,2645.0
6,673.0,2646.5
7,673.0,2645.5
8,674.0,2646.5
9,674.0,2645.5
10,674.0,2646.5
11,674.0,2645.5
12,674.0,2646.5
13,674.0,2646.5
14,674.0,2645.5
15,673.0,2646.5
16,673.0,2646.5
17,673.0,2645.5
18,673.0,2646.5
19,673.0,2646.5
20,673.0,2646.5
21,673.0,2645.5
22,673.0,2646.5
23,674.0,2645.5
24,673.0,2646.5
25,674.0,2646.5
26,674.0,2645.5
27,673.0,2645.5
28,675.0,2646.5
29,674.0,2645.5
30,674.0,2645.5
31,674.0,2646.5
32,674.0,2644.5
33,674.0,2646.5
34,674.0,2645.5
35,673.0,2645.5
36,673.0,2645.5
37,674.0,2645.5
38,674.0,2645.5
39,674.0,2645.5
40,675.0,2647.5
41,676.0,2645.5
42,675.0,2646.5
43,672.0,2645.5
44,672.0,2647.5
45,675.0,2645.5
46,676.0,2647.5
47,674.0,2646.5
48,673.0,2646.5
49,672.0,2646.5
50,672.0,2646.5
51,674.0,2646.5
52,675.0,2646.5
53,673.0,2647.5
54,672.0,2645.5
55,672.0,2646.5
56,673.0,2646.5
57,674.0,2645.5
58,674.0,2646.5
59,674.0,2645.5
60,674.0,2645.5
61,674.0,2646.5
62,673.0,2645.5
63,672.0,2645.5
64,672.0,2646.5
65,672.0,2645.5
66,673.0,2645.5
67,674.0,2645.5
68,674.0,2646.5
69,675.0,2646.5
70,674.0,2646.5
71,674.0,2646.5
72,674.0,2645.5
73,673.0,2645.5
74,673.0,2646.5
75,673.0,2645.5
76,673.0,2645.5
77,673.0,2645.5
78,674.0,2646.5
79,674.0,2645.5
80,674.0,2645.5
81,674.0,2646.5
82,674.0,2645.5
83,674.0,2646.5
84,674.0,2645.5
85,674.0,2645.5
86,673.0,2645.5
87,673.0,2645.5
88,674.0,2646.5
89,674.0,2645.5
90,675.0,2646.5
91,675.0,2645.5
92,674.0,2645.5
93,674.0,2645.5
94,674.0,2646.5
95,674.0,2645.5
96,674.0,2645.5
97,674.0,2645.5
98,674.0,2645.5
99,674.0,2646.5
100,674.0,2645.5
101,674.0,2645.5
102,674.0,2646.5
103,675.0,2645.5
104,675.0,2645.5
105,674.0,2645.5
106,674.0,2646.5
107,673.0,2645.5
108,673.0,2645.5
109,674.0,2646.5
110,674.0,2645.5
111,675.0,2644.5
112,674.0,2646.5
113,674.0,2645.5
114,674.0,2645.5
115,674.0,2645.5
116,674.0,2645.5
117,674.0,2645.5
118,674.0,2645.5
119,674.0,2645.5
120,674.0,2645.5
121,674.0,2645.5
122,674.0,2645.5
123,674.0,2645.5
124,674.0,2645.5
125,674.0,2645.5
126,674.0,2645.5
127,674.0,2646.5
128,674.0,2645.5
129,674.0,2645.5
130,674.0,2646.5
131,673.0,2645.5
132,674.0,2645.5
133,674.0,2645.5
134,674.0,2645.5
135,674.0,2646.5
136,674.0,2645.5
137,673.0,2645.5
138,674.0,2645.5
139,675.0,2645.5
140,674.0,2645.5
141,674.0,2646.5
142,674.0,2645.5
143,674.0,2645.5
144,674.0,2645.5
145,674.0,2646.5
146,674.0,2646.5
147,673.0,2645.5
148,674.0,2646.5
149,674.0,2646.5
150,674.0,2646.5
151,674.0,2645.5
152,674.0,2646.5
153,674.0,2646.5
154,674.0,2645.5
155,674.0,2646.5
156,674.0,2646.5
157,673.0,2645.5
158,674.0,2646.5
159,674.0,2646.5
160,674.0,2645.5
161,674.0,2646.5
162,674.0,2645.5
163,674.0,2646.5
164,674.0,2645.5
165,674.0,2646.5
166,674.0,2645.5
167,674.0,2645.5
168,674.0,2645.5
169,674.0,2645.5
170,674.0,2645.5
171,674.0,2645.5
172,674.0,2646.5
173,674.0,2645.5
174,674.0,2646.5
175,674.0,2645.5
176,674.0,2645.5
177,675.0,2645.5
178,674.0,2645.5
179,674.0,2646.5
180,674.0,2645.5
181,674.0,2646.5
182,674.0,2645.5
183,674.0,2646.5
184,675.0,2645.5
185,674.0,2645.5
186,674.0,2645.5
187,674.0,2645.5
188,674.0,2646.5
189,674.0,2646.5
190,675.0,2645.5
191,674.0,2646.5
192,674.0,2645.5
193,674.0,2645.5
194,674.0,2646.5
195,674.0,2646.5
196,674.0,2645.5
197,674.0,2645.5
198,675.0,2645.5
199,674.0,2645.5
200,674.0,2645.5
201,675.0,2644.5
202,675.0,2645.5
203,674.0,2645.5
204,674.0,2644.5
205,674.0,2644.5
206,674.0,2644.5
207,674.0,2644.5
208,674.0,2644.5
209,674.0,2643.5
210,674.0,2643.5
211,675.0,2643.5
212,675.0,2643.5
213,675.0,2643.5
214,675.0,2642.5
215,675.0,2643.5
216,675.0,2642.5
217,675.0,2643.5
218,675.0,2642.5
219,675.0,2642.5
220,674.0,2642.5
221,675.0,2641.5
222,675.0,2642.5
223,675.0,2642.5
224,675.0,2641.5
225,675.0,2641.5
226,675.0,2640.5
227,675.0,2641.5
228,675.0,2640.5
229,675.0,2641.5
230,675.0,2639.5
231,675.0,2640.5
232,674.0,2640.5
233,674.0,2639.5
234,675.0,2640.5
235,675.0,2639.5
236,675.0,2639.5
237,675.0,2639.5
238,675.0,2639.5
239,675.0,2638.5
240,676.0,2638.5
241,675.0,2638.5
242,675.0,2638.5
243,675.0,2638.5
244,675.0,2638.5
245,675.0,2637.5
246,675.0,2637.5
247,675.0,2637.5
248,675.0,2636.5
249,675.0,2636.5
250,675.0,2636.5
251,675.0,2636.5
252,675.0,2635.5
253,675.0,2635.5
254,675.0,2635.5
255,675.0,2634.5
256,675.0,2634.5
257,675.0,2634.5
258,675.0,2633.5
259,674.0,2633.5
