,cat_x1,cat_y1
0,606.0,1040.5
1,607.0,1040.5
2,607.0,1040.5
3,607.0,1041.5
4,607.0,1040.5
5,606.0,1040.5
6,607.0,1040.5
7,608.0,1041.5
8,608.0,1040.5
9,607.0,1040.5
10,607.0,1040.5
11,607.0,1039.5
12,607.0,1040.5
13,608.0,1039.5
14,607.0,1039.5
15,606.0,1040.5
16,606.0,1038.5
17,606.0,1040.5
18,607.0,1040.5
19,606.0,1040.5
20,606.0,1039.5
21,606.0,1040.5
22,607.0,1040.5
23,607.0,1040.5
24,607.0,1039.5
25,607.0,1040.5
26,608.0,1039.5
27,607.0,1040.5
28,608.0,1040.5
29,606.0,1041.5
30,607.0,1040.5
31,606.0,1040.5
32,606.0,1040.5
33,607.0,1040.5
34,607.0,1040.5
35,607.0,1040.5
36,607.0,1040.5
37,607.0,1040.5
38,607.0,1041.5
39,608.0,1040.5
40,608.0,1039.5
41,608.0,1041.5
42,607.0,1039.5
43,606.0,1040.5
44,606.0,1039.5
45,608.0,1040.5
46,607.0,1039.5
47,605.0,1040.5
48,605.0,1041.5
49,607.0,1040.5
50,608.0,1039.5
51,607.0,1041.5
52,607.0,1040.5
53,606.0,1040.5
54,606.0,1039.5
55,607.0,1040.5
56,608.0,1041.5
57,608.0,1041.5
58,607.0,1041.5
59,606.0,1039.5
60,606.0,1040.5
61,607.0,1041.5
62,607.0,1041.5
63,608.0,1040.5
64,607.0,1040.5
65,607.0,1040.5
66,607.0,1041.5
67,606.0,1040.5
68,606.0,1040.5
69,605.0,1040.5
70,606.0,1040.5
71,606.0,1040.5
72,606.0,1040.5
73,607.0,1040.5
74,608.0,1040.5
75,608.0,1039.5
76,607.0,1040.5
77,607.0,1040.5
78,606.0,1040.5
79,606.0,1040.5
80,607.0,1039.5
81,606.0,1040.5
82,607.0,1040.5
83,607.0,1040.5
84,607.0,1040.5
85,608.0,1040.5
86,607.0,1041.5
87,607.0,1040.5
88,607.0,1041.5
89,607.0,1040.5
90,607.0,1040.5
91,607.0,1040.5
92,607.0,1040.5
93,607.0,1040.5
94,607.0,1040.5
95,607.0,1040.5
96,607.0,1040.5
97,607.0,1040.5
98,607.0,1040.5
99,607.0,1041.5
100,607.0,1040.5
101,607.0,1040.5
102,606.0,1039.5
103,607.0,1040.5
104,607.0,1040.5
105,607.0,1039.5
106,607.0,1040.5
107,608.0,1040.5
108,608.0,1040.5
109,607.0,1040.5
110,607.0,1040.5
111,607.0,1040.5
112,606.0,1040.5
113,607.0,1040.5
114,606.0,1041.5
115,606.0,1039.5
116,606.0,1040.5
117,607.0,1040.5
118,607.0,1041.5
119,607.0,1041.5
120,607.0,1040.5
121,606.0,1041.5
122,607.0,1040.5
123,606.0,1041.5
124,606.0,1040.5
125,606.0,1040.5
126,606.0,1040.5
127,606.0,1041.5
128,606.0,1040.5
129,607.0,1040.5
130,607.0,1041.5
131,607.0,1040.5
132,607.0,1041.5
133,607.0,1040.5
134,606.0,1040.5
135,606.0,1039.5
136,607.0,1041.5
137,607.0,1040.5
138,607.0,1040.5
139,607.0,1041.5
140,608.0,1041.5
141,608.0,1040.5
142,607.0,1040.5
143,607.0,1041.5
144,607.0,1040.5
145,607.0,1041.5
146,607.0,1040.5
147,607.0,1041.5
148,607.0,1040.5
149,607.0,1041.5
150,607.0,1040.5
151,608.0,1041.5
152,608.0,1040.5
153,607.0,1041.5
154,607.0,1039.5
155,607.0,1040.5
156,607.0,1040.5
157,607.0,1040.5
158,607.0,1039.5
159,607.0,1040.5
160,607.0,1040.5
161,607.0,1040.5
162,607.0,1039.5
163,607.0,1040.5
164,607.0,1040.5
165,607.0,1040.5
166,606.0,1040.5
167,606.0,1040.5
168,606.0,1040.5
169,607.0,1040.5
170,607.0,1040.5
171,607.0,1040.5
172,607.0,1039.5
173,607.0,1039.5
174,607.0,1040.5
175,607.0,1040.5
176,607.0,1039.5
177,606.0,1038.5
178,606.0,1039.5
179,606.0,1038.5
180,607.0,1038.5
181,607.0,1037.5
182,607.0,1038.5
183,607.0,1038.5
184,607.0,1037.5
185,607.0,1038.5
186,607.0,1037.5
187,606.0,1037.5
188,606.0,1036.5
189,606.0,1037.5
190,606.0,1036.5
191,607.0,1036.5
192,606.0,1037.5
193,607.0,1036.5
194,607.0,1036.5
195,607.0,1036.5
196,607.0,1036.5
197,607.0,1036.5
198,606.0,1035.5
199,606.0,1035.5
200,606.0,1034.5
201,606.0,1035.5
202,607.0,1035.5
203,607.0,1035.5
204,607.0,1034.5
205,608.0,1035.5
206,607.0,1035.5
207,607.0,1034.5
208,607.0,1034.5
209,606.0,1034.5
210,606.0,1034.5
211,606.0,1034.5
212,606.0,1034.5
213,607.0,1033.5
214,607.0,1034.5
215,606.0,1034.5
216,607.0,1033.5
217,607.0,1033.5
218,606.0,1033.5
219,606.0,1032.5
220,606.0,1033.5
221,606.0,1032.5
222,606.0,1032.5
223,606.0,1031.5
224,606.0,1032.5
225,607.0,1031.5
226,607.0,1031.5
227,608.0,1031.5
228,606.0,1031.5
229,606.0,1031.5
230,606.0,1030.5
231,606.0,1030.5
232,607.0,1030.5
233,606.0,1029.5
234,606.0,1029.5
235,607.0,1029.5
236,607.0,1029.5
237,607.0,1029.5
238,607.0,1029.5
239,607.0,1028.5
240,607.0,1028.5
241,607.0,1028.5
242,607.0,1027.5
243,607.0,1027.5
244,607.0,1026.5
245,606.0,1026.5
246,607.0,1025.5
247,607.0,1025.5
248,608.0,1024.5
249,607.0,1023.5
250,607.0,1022.5
251,607.0,1021.5
252,607.0,1020.5
253,608.0,1020.5
254,607.0,1020.5
255,607.0,1021.5
256,607.0,1019.5
257,607.0,1019.5
258,607.0,1018.5
259,608.0,1018.5
260,608.0,1018.5
261,608.0,1016.5
262,608.0,1016.5
263,608.0,1015.5
264,608.0,1015.5
265,608.0,1015.5
266,607.0,1014.5
267,607.0,1014.5
268,607.0,1013.5
269,607.0,1013.5
270,607.0,1011.5
271,607.0,1012.5
272,608.0,1009.5
273,608.0,1009.5
274,608.0,1008.5
275,608.0,1008.5
276,608.0,1007.5
277,607.0,1008.5
278,608.0,1007.5
279,608.0,1006.5
280,608.0,1005.5
281,608.0,1005.5
282,608.0,1004.5
283,608.0,1004.5
284,608.0,1001.5
285,608.0,1003.5
286,608.0,1000.5
287,607.0,1000.5
288,608.0,1000.5
289,608.0,1000.5
290,608.0,1000.5
291,607.0,1000.5
292,608.0,1001.5
293,608.0,999.5
294,608.0,1000.5
295,608.0,999.5
296,608.0,999.5
297,608.0,1000.5
298,609.0,999.5
299,608.0,999.5
300,609.0,999.5
301,608.0,999.5
302,608.0,998.5
303,608.0,999.5
304,608.0,999.5
305,608.0,999.5
306,608.0,999.5
307,608.0,999.5
308,608.0,999.5
309,608.0,998.5
310,608.0,1000.5
311,608.0,998.5
312,608.0,999.5
313,608.0,1000.5
314,608.0,999.5
315,608.0,1000.5
316,609.0,999.5
317,608.0,999.5
318,608.0,999.5
319,608.0,999.5
320,609.0,998.5
321,609.0,999.5
322,610.0,999.5
323,609.0,999.5
324,608.0,1000.5
325,608.0,999.5
326,609.0,998.5
327,609.0,999.5
328,608.0,999.5
329,607.0,999.5
330,607.0,998.5
331,608.0,999.5
332,609.0,999.5
333,609.0,999.5
334,608.0,999.5
335,608.0,999.5
336,608.0,1000.5
337,609.0,999.5
338,609.0,1000.5
339,608.0,999.5
340,607.0,999.5
341,608.0,999.5
342,609.0,999.5
343,609.0,999.5
344,608.0,999.5
345,608.0,999.5
346,608.0,999.5
347,609.0,999.5
348,609.0,999.5
349,609.0,999.5
350,608.0,998.5
351,608.0,999.5
352,608.0,999.5
353,608.0,998.5
354,608.0,999.5
355,607.0,999.5
356,607.0,999.5
357,607.0,998.5
358,607.0,999.5
359,608.0,1000.5
360,608.0,999.5
361,608.0,999.5
362,608.0,999.5
363,608.0,999.5
364,608.0,1000.5
365,608.0,999.5
366,607.0,1000.5
367,607.0,999.5
368,607.0,1000.5
369,607.0,999.5
370,608.0,999.5
371,609.0,999.5
372,608.0,999.5
373,608.0,998.5
374,608.0,998.5
375,608.0,999.5
376,608.0,998.5
377,607.0,997.5
378,607.0,998.5
379,608.0,998.5
380,609.0,999.5
381,608.0,998.5
382,608.0,999.5
383,608.0,998.5
384,608.0,999.5
385,609.0,997.5
386,609.0,998.5
387,608.0,995.5
388,607.0,993.5
389,608.0,994.5
390,609.0,993.5
391,609.0,992.5
392,608.0,992.5
393,608.0,991.5
394,608.0,991.5
395,608.0,989.5
396,608.0,990.5
397,609.0,989.5
398,608.0,988.5
399,607.0,988.5
400,608.0,987.5
401,608.0,987.5
402,609.0,986.5
403,608.0,985.5
404,607.0,984.5
405,607.0,984.5
406,608.0,984.5
407,609.0,983.5
408,609.0,983.5
409,609.0,981.5
410,608.0,982.5
411,608.0,981.5
412,609.0,980.5
413,609.0,980.5
414,609.0,979.5
415,609.0,978.5
416,608.0,978.5
417,609.0,978.5
418,610.0,977.5
419,610.0,975.5
420,609.0,975.5
421,609.0,974.5
422,610.0,974.5
423,610.0,975.5
424,609.0,972.5
425,609.0,971.5
426,610.0,971.5
427,609.0,970.5
428,609.0,970.5
429,610.0,970.5
430,610.0,969.5
431,609.0,968.5
432,609.0,969.5
433,609.0,967.5
434,609.0,966.5
435,610.0,966.5
436,610.0,965.5
437,609.0,964.5
438,609.0,964.5
439,609.0,963.5
440,610.0,963.5
441,610.0,962.5
442,609.0,962.5
443,609.0,961.5
444,610.0,960.5
445,610.0,959.5
446,610.0,959.5
447,610.0,959.5
448,611.0,959.5
449,610.0,958.5
450,611.0,957.5
451,611.0,956.5
452,611.0,956.5
453,611.0,955.5
454,611.0,954.5
455,610.0,954.5
456,611.0,954.5
457,613.0,956.5
458,612.0,953.5
459,611.0,953.5
460,610.0,952.5
461,610.0,952.5
462,611.0,952.5
463,612.0,951.5
464,611.0,950.5
465,610.0,950.5
466,611.0,950.5
467,611.0,951.5
468,612.0,949.5
469,612.0,948.5
470,611.0,948.5
471,612.0,948.5
472,613.0,947.5
473,613.0,946.5
474,612.0,945.5
475,612.0,945.5
476,612.0,944.5
477,612.0,944.5
478,612.0,943.5
479,612.0,943.5
480,611.0,943.5
481,612.0,941.5
482,613.0,941.5
483,613.0,941.5
484,613.0,939.5
485,612.0,940.5
486,612.0,938.5
487,613.0,936.5
488,613.0,937.5
489,613.0,936.5
490,612.0,936.5
491,613.0,936.5
492,613.0,935.5
493,613.0,934.5
494,613.0,933.5
495,613.0,931.5
496,613.0,932.5
497,614.0,931.5
498,613.0,930.5
499,613.0,929.5
500,614.0,929.5
501,613.0,928.5
502,613.0,929.5
503,614.0,928.5
504,614.0,927.5
505,614.0,926.5
506,614.0,927.5
507,614.0,927.5
508,613.0,924.5
509,613.0,925.5
510,614.0,925.5
511,614.0,924.5
512,614.0,925.5
513,614.0,923.5
514,614.0,923.5
515,614.0,923.5
516,614.0,922.5
517,614.0,921.5
518,614.0,920.5
519,614.0,919.5
520,614.0,919.5
521,614.0,918.5
522,615.0,918.5
523,615.0,919.5
524,614.0,917.5
525,614.0,916.5
526,615.0,915.5
527,615.0,915.5
528,615.0,915.5
529,615.0,914.5
530,615.0,914.5
531,614.0,913.5
532,615.0,913.5
533,615.0,912.5
534,615.0,911.5
535,614.0,911.5
536,614.0,911.5
537,614.0,909.5
538,615.0,909.5
539,615.0,907.5
540,615.0,908.5
541,614.0,908.5
542,614.0,907.5
543,615.0,906.5
544,615.0,907.5
545,616.0,906.5
546,615.0,906.5
547,614.0,906.5
548,615.0,904.5
549,615.0,904.5
550,615.0,904.5
551,615.0,904.5
552,615.0,903.5
553,615.0,902.5
554,615.0,902.5
555,616.0,902.5
556,615.0,902.5
557,614.0,901.5
558,614.0,901.5
559,614.0,899.5
560,615.0,900.5
561,616.0,899.5
562,616.0,898.5
563,615.0,897.5
564,615.0,897.5
565,615.0,897.5
566,615.0,896.5
567,615.0,896.5
568,615.0,894.5
569,616.0,893.5
570,616.0,893.5
571,616.0,892.5
572,616.0,891.5
573,616.0,891.5
574,616.0,891.5
575,616.0,890.5
576,616.0,889.5
577,616.0,890.5
578,616.0,888.5
579,616.0,887.5
580,616.0,887.5
581,616.0,887.5
582,616.0,886.5
583,615.0,886.5
584,615.0,884.5
585,615.0,885.5
586,616.0,885.5
587,616.0,885.5
588,616.0,883.5
589,616.0,883.5
590,615.0,881.5
591,615.0,881.5
592,616.0,881.5
593,617.0,879.5
594,616.0,878.5
595,615.0,878.5
596,616.0,877.5
597,616.0,876.5
598,616.0,876.5
599,617.0,877.5
600,616.0,877.5
601,616.0,877.5
602,617.0,875.5
603,616.0,876.5
604,616.0,876.5
605,616.0,876.5
606,616.0,876.5
607,617.0,876.5
608,617.0,877.5
609,617.0,876.5
610,616.0,876.5
611,616.0,876.5
612,617.0,877.5
613,617.0,876.5
614,617.0,876.5
615,617.0,876.5
616,617.0,876.5
617,617.0,876.5
618,617.0,876.5
619,617.0,877.5
620,617.0,877.5
621,617.0,876.5
622,617.0,875.5
623,616.0,876.5
624,616.0,876.5
625,616.0,876.5
626,616.0,876.5
627,617.0,876.5
628,616.0,876.5
629,616.0,876.5
630,616.0,876.5
631,616.0,876.5
632,616.0,876.5
633,617.0,876.5
634,616.0,876.5
635,616.0,876.5
636,616.0,876.5
637,616.0,876.5
638,616.0,876.5
639,616.0,876.5
640,616.0,875.5
641,617.0,876.5
642,617.0,876.5
643,617.0,876.5
644,617.0,877.5
645,617.0,876.5
646,617.0,877.5
647,617.0,876.5
648,617.0,876.5
649,617.0,877.5
650,616.0,876.5
651,617.0,876.5
652,617.0,876.5
653,616.0,876.5
654,616.0,876.5
655,617.0,876.5
656,617.0,876.5
657,617.0,876.5
658,617.0,875.5
659,617.0,877.5
660,617.0,876.5
661,617.0,877.5
662,617.0,876.5
663,617.0,877.5
664,617.0,876.5
665,618.0,876.5
666,617.0,876.5
667,617.0,876.5
668,618.0,876.5
669,617.0,876.5
670,617.0,876.5
671,617.0,876.5
672,616.0,875.5
673,616.0,876.5
674,616.0,876.5
675,617.0,876.5
676,617.0,876.5
677,617.0,877.5
678,618.0,876.5
679,617.0,876.5
680,617.0,876.5
681,617.0,877.5
682,616.0,876.5
683,617.0,876.5
684,618.0,876.5
685,617.0,876.5
686,617.0,877.5
687,617.0,876.5
688,617.0,876.5
689,617.0,877.5
690,617.0,876.5
691,617.0,876.5
692,617.0,876.5
693,617.0,875.5
694,617.0,875.5
695,617.0,873.5
696,617.0,873.5
697,617.0,872.5
698,617.0,872.5
699,618.0,872.5
700,618.0,871.5
701,618.0,870.5
702,618.0,870.5
703,617.0,867.5
704,617.0,867.5
705,618.0,867.5
706,617.0,866.5
707,617.0,865.5
708,617.0,865.5
709,617.0,864.5
710,618.0,863.5
711,618.0,862.5
712,617.0,861.5
713,617.0,861.5
714,618.0,860.5
715,618.0,860.5
716,618.0,858.5
717,617.0,858.5
718,618.0,857.5
719,619.0,856.5
720,619.0,856.5
721,619.0,856.5
722,618.0,855.5
723,618.0,854.5
724,617.0,853.5
