Angles,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
45,42.78,42.62,42.87,42.8,43.01,42.98,43.07,43.1,43.32,43.21
90,86.84,86.2,86.81,86.46,87,86.87,87.15,87.08,86.97,86.58
135,132.55,132.68,132.24,133.02,132.13,132.28,132.05,131.55,131.51,132.15
180,177.4,177.75,177.43,177.63,177.72,177.41,177.2,177.13,177.15,177.76
225,222.52,222.24,222.01,222.19,222.68,221.97,222.52,221.45,221.61,221.94
270,266.67,266.35,266.09,266.15,266.09,266.11,265.9,265.49,266,265.6
315,312.23,311.94,311.16,311.62,311.54,311.64,312.01,311.6,311.95,311.57
360,356.88,357.08,357.05,357.16,356.88,357.43,357.15,357.7,357.73,357.4
