,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1116.5,2849.5,1548.0,3095.5,687.0,3106.5,1112.0,2351.0,1085.0,276.0,1225.0,1290.0
1,1115.5,2849.5,1547.5,3096.0,687.0,3106.5,1113.0,2351.0,1085.5,277.5,1225.5,1290.5
2,1116.5,2848.5,1549.0,3095.5,688.0,3106.5,1113.5,2351.5,1085.5,277.0,1225.5,1289.5
3,1117.5,2849.5,1549.5,3096.0,688.0,3106.5,1113.0,2351.0,1086.0,276.0,1225.5,1290.0
4,1117.5,2849.5,1549.5,3096.0,688.0,3106.5,1113.0,2351.0,1086.0,276.0,1226.5,1290.5
5,1117.5,2849.5,1548.5,3096.0,688.0,3106.5,1112.5,2350.5,1086.5,276.0,1227.0,1290.0
6,1117.0,2849.0,1549.5,3096.0,688.0,3106.5,1113.5,2350.5,1086.0,276.0,1227.0,1290.0
7,1116.5,2848.5,1549.0,3095.5,688.0,3106.5,1112.5,2349.5,1086.0,276.0,1226.0,1290.0
8,1117.0,2849.0,1548.5,3096.0,688.0,3105.5,1113.5,2350.5,1086.0,276.0,1226.5,1290.5
9,1116.0,2849.0,1549.5,3096.0,688.0,3106.5,1112.5,2351.5,1086.5,276.5,1225.5,1291.5
10,1116.5,2849.5,1548.5,3096.0,687.0,3107.5,1113.5,2350.5,1087.0,278.0,1225.5,1290.5
11,1117.0,2850.0,1549.0,3096.5,687.0,3106.5,1113.0,2351.0,1086.5,277.5,1225.5,1291.0
12,1116.5,2849.5,1548.5,3096.0,687.0,3107.5,1113.5,2351.5,1086.5,277.5,1226.5,1291.5
13,1117.5,2851.5,1548.5,3097.0,687.0,3107.5,1112.5,2351.5,1085.0,277.0,1226.0,1291.0
14,1116.0,2850.0,1548.5,3097.0,687.0,3107.5,1112.5,2351.5,1086.0,278.0,1225.5,1291.5
15,1116.5,2849.5,1548.5,3097.0,687.0,3107.5,1112.5,2351.5,1085.0,278.0,1225.5,1291.0
16,1115.5,2850.5,1547.5,3097.0,687.0,3106.5,1111.5,2351.5,1085.0,277.0,1225.5,1291.0
17,1116.5,2850.5,1547.5,3097.0,687.0,3107.5,1112.5,2350.5,1085.0,277.0,1225.5,1291.0
18,1116.5,2850.5,1548.5,3097.0,687.0,3106.5,1112.5,2351.5,1086.0,277.0,1226.0,1292.0
19,1116.5,2849.5,1548.5,3097.0,687.0,3106.5,1112.5,2350.5,1085.5,277.5,1226.0,1291.0
20,1117.0,2851.0,1548.5,3097.0,686.5,3107.0,1112.5,2351.5,1085.5,277.5,1226.0,1291.0
21,1116.5,2850.5,1548.5,3096.0,687.0,3106.5,1112.5,2351.5,1085.5,276.5,1226.0,1291.0
