,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1109.0,2852.5,1107.0,2354.0,1537.0,3106.0,677.0,3106.0,1225.0,1297.0,1082.0,276.5
1,1109.0,2852.5,1107.0,2355.0,1537.0,3106.0,677.0,3106.0,1225.5,1297.5,1082.0,278.5
2,1109.0,2853.5,1107.0,2355.0,1537.5,3105.5,677.0,3107.0,1225.5,1297.5,1081.5,278.0
3,1110.0,2853.5,1107.5,2355.5,1538.5,3106.5,678.0,3106.0,1225.5,1298.5,1082.5,278.0
4,1109.5,2852.0,1108.0,2355.0,1538.0,3107.0,678.0,3106.0,1225.5,1297.5,1082.0,277.5
5,1110.0,2853.5,1108.5,2354.5,1537.0,3106.0,678.0,3106.0,1225.0,1298.0,1082.0,278.5
6,1110.0,2853.5,1108.0,2355.0,1538.0,3106.0,678.0,3106.0,1225.5,1297.5,1082.5,278.0
7,1109.0,2853.5,1107.5,2354.5,1538.0,3106.0,677.5,3105.5,1226.0,1298.0,1082.5,278.0
8,1110.0,2852.5,1107.0,2355.0,1538.0,3106.0,677.0,3106.0,1226.0,1298.0,1082.5,278.0
9,1110.0,2852.5,1108.0,2355.0,1538.0,3106.0,676.5,3105.5,1226.0,1298.0,1082.0,277.5
10,1110.0,2853.5,1108.0,2355.0,1538.0,3107.0,677.0,3107.0,1226.0,1298.0,1082.5,278.0
11,1110.5,2854.0,1107.5,2354.5,1538.0,3107.0,677.0,3107.0,1226.0,1298.0,1082.0,278.5
12,1110.0,2853.5,1107.0,2356.0,1537.5,3106.5,677.0,3107.0,1225.5,1297.5,1082.5,279.0
13,1110.0,2853.5,1107.0,2355.0,1537.0,3106.0,677.5,3106.5,1225.0,1298.0,1082.5,278.0
14,1110.0,2853.5,1107.0,2355.0,1538.0,3107.0,676.5,3106.5,1225.0,1298.0,1082.5,278.0
15,1110.0,2853.5,1108.0,2355.0,1538.0,3107.0,676.5,3106.5,1225.0,1298.0,1081.5,278.0
16,1110.0,2853.5,1108.0,2355.0,1537.0,3107.0,677.0,3105.0,1225.0,1298.0,1082.5,278.0
17,1110.0,2852.5,1108.0,2355.0,1538.0,3107.0,676.5,3106.5,1225.5,1297.5,1083.0,278.5
18,1110.0,2853.5,1108.0,2355.0,1538.5,3107.5,677.0,3106.0,1225.0,1298.0,1082.5,278.0
19,1110.0,2853.5,1108.0,2355.0,1537.5,3106.5,677.0,3106.0,1225.0,1298.0,1082.5,278.0
20,1110.0,2853.5,1108.0,2355.0,1538.0,3107.0,677.0,3107.0,1225.0,1297.0,1081.5,278.0
21,1110.0,2853.5,1108.0,2355.0,1537.5,3106.5,678.0,3106.0,1225.0,1298.0,1082.0,277.5
22,1110.0,2852.5,1108.0,2355.0,1538.0,3107.0,677.0,3106.0,1226.0,1298.0,1082.0,277.5
23,1110.0,2853.5,1108.0,2355.0,1538.0,3106.0,677.0,3106.0,1225.0,1297.0,1082.5,278.0
24,1110.0,2853.5,1108.0,2355.0,1537.5,3106.5,677.0,3107.0,1226.0,1298.0,1082.5,278.0
25,1110.0,2852.5,1108.0,2355.0,1538.5,3106.5,677.0,3106.0,1226.0,1298.0,1082.5,278.0
26,1110.0,2853.5,1108.0,2355.0,1538.5,3106.5,677.0,3106.0,1226.5,1298.5,1082.5,277.0
27,1110.0,2852.5,1108.0,2355.0,1538.5,3106.5,677.0,3106.0,1225.5,1297.5,1083.0,277.5
28,1110.0,2853.5,1108.0,2355.0,1538.5,3106.5,677.0,3106.0,1226.0,1297.0,1083.5,277.0
29,1110.0,2852.5,1108.0,2355.0,1537.5,3106.5,677.0,3106.0,1225.5,1297.5,1083.0,277.5
30,1110.0,2853.5,1108.0,2355.0,1537.5,3106.5,677.0,3106.0,1226.0,1297.0,1085.0,277.5
31,1110.0,2852.5,1108.0,2354.0,1538.5,3106.5,677.5,3105.5,1225.5,1297.5,1084.5,277.0
32,1109.0,2852.5,1108.0,2355.0,1537.5,3105.5,676.0,3106.0,1225.5,1297.5,1085.0,276.5
33,1110.0,2852.5,1108.0,2355.0,1537.5,3106.5,677.0,3106.0,1225.5,1296.5,1085.5,277.0
34,1110.0,2852.5,1108.0,2355.0,1537.5,3105.5,677.0,3106.0,1226.0,1297.0,1087.5,277.0
35,1109.0,2852.5,1107.0,2355.0,1537.5,3106.5,676.0,3106.0,1225.0,1297.0,1087.5,276.0
36,1110.0,2853.5,1107.0,2355.0,1539.5,3104.5,678.5,3106.5,1225.0,1297.0,1089.5,277.0
37,1110.0,2852.5,1099.0,2355.0,1543.0,3099.0,682.0,3114.0,1225.5,1297.5,1090.5,277.0
38,1109.0,2852.5,1091.0,2355.0,1543.5,3091.5,683.0,3118.0,1225.0,1297.0,1090.5,277.0
39,1109.0,2852.5,1088.0,2356.0,1547.5,3088.5,688.0,3123.0,1225.5,1297.5,1094.0,277.5
40,1110.0,2852.5,1084.0,2355.0,1549.5,3084.5,691.0,3127.0,1225.0,1297.0,1095.0,277.5
41,1109.0,2852.5,1079.0,2355.0,1550.5,3080.5,691.0,3130.0,1225.0,1298.0,1095.0,277.5
42,1109.0,2852.5,1076.0,2356.0,1553.5,3077.5,695.0,3134.0,1226.0,1298.0,1097.0,277.5
43,1110.0,2852.5,1072.0,2355.0,1555.5,3072.5,697.0,3137.0,1225.5,1297.5,1098.0,277.5
44,1110.0,2852.5,1067.0,2356.0,1555.5,3068.5,698.0,3140.0,1225.0,1297.0,1098.5,277.0
45,1110.0,2851.5,1063.0,2357.0,1558.5,3065.5,701.5,3143.5,1225.5,1297.5,1099.5,277.0
46,1110.0,2852.5,1059.0,2357.0,1560.5,3060.5,702.5,3147.5,1225.5,1297.5,1100.5,277.0
47,1110.0,2852.5,1055.0,2357.0,1561.5,3057.5,705.5,3150.5,1224.5,1297.5,1101.5,278.0
48,1110.0,2851.5,1050.0,2358.0,1564.5,3053.5,708.5,3153.5,1224.5,1297.5,1102.5,278.0
49,1110.0,2851.5,1047.0,2358.0,1564.5,3050.5,708.5,3155.5,1223.5,1297.5,1103.5,278.0
50,1110.0,2852.5,1043.0,2358.0,1565.5,3045.5,712.5,3159.5,1224.0,1297.0,1105.5,278.0
51,1110.0,2851.5,1039.0,2359.0,1568.5,3042.5,715.0,3163.0,1224.0,1298.0,1106.5,278.0
52,1109.0,2851.5,1034.0,2359.0,1568.5,3038.5,717.0,3167.0,1224.0,1298.0,1107.0,278.5
53,1109.0,2852.5,1031.0,2360.0,1571.5,3034.5,721.0,3170.0,1224.0,1298.0,1108.5,279.0
54,1110.0,2851.5,1027.0,2360.0,1572.5,3031.5,722.0,3173.0,1224.0,1298.0,1110.0,278.5
55,1109.0,2851.5,1023.0,2361.0,1572.5,3027.5,725.0,3176.0,1224.0,1298.0,1110.5,278.0
56,1109.0,2851.5,1021.0,2361.0,1575.5,3024.5,728.0,3178.0,1224.0,1298.0,1111.5,279.0
57,1109.0,2851.5,1017.0,2362.0,1575.5,3021.5,730.0,3182.0,1224.0,1298.0,1112.5,279.0
58,1109.0,2852.5,1013.0,2363.0,1575.5,3017.5,730.0,3184.0,1223.5,1298.5,1112.5,278.0
59,1110.0,2851.5,1011.0,2364.0,1577.5,3015.5,734.0,3186.0,1223.0,1298.0,1115.5,278.0
60,1110.0,2852.5,1007.0,2364.0,1578.5,3011.5,735.0,3189.0,1223.0,1298.0,1115.0,278.5
61,1109.0,2851.5,1003.0,2365.0,1579.5,3008.5,737.0,3191.0,1222.0,1298.0,1116.5,279.0
62,1109.0,2852.5,1000.0,2365.0,1580.0,3005.0,740.0,3193.0,1223.0,1299.0,1117.0,278.5
63,1109.0,2851.5,996.0,2366.0,1581.0,3001.0,741.0,3197.0,1222.5,1298.5,1117.5,278.0
64,1109.0,2851.5,992.0,2367.0,1582.0,2998.0,745.0,3199.0,1222.5,1298.5,1118.5,278.0
65,1109.0,2851.5,989.0,2368.0,1583.0,2994.0,747.0,3201.0,1221.5,1298.5,1120.5,278.0
66,1109.0,2850.5,986.0,2368.0,1583.0,2990.0,749.0,3202.0,1221.5,1297.5,1120.5,278.0
67,1109.0,2851.5,983.0,2369.0,1586.0,2987.0,752.0,3206.0,1221.5,1298.5,1122.5,278.0
68,1109.0,2850.5,978.0,2370.0,1586.0,2983.0,754.0,3209.0,1220.5,1297.5,1123.5,278.0
69,1109.0,2851.5,974.0,2370.0,1586.0,2980.0,757.0,3211.0,1219.5,1297.5,1124.0,278.5
70,1109.0,2850.5,971.0,2372.0,1588.0,2976.0,760.0,3215.0,1219.5,1298.5,1126.5,277.0
71,1109.0,2850.5,967.0,2373.0,1588.0,2970.0,763.0,3217.0,1219.5,1297.5,1126.5,277.0
72,1109.0,2850.5,962.0,2374.0,1589.0,2966.0,766.0,3220.0,1218.5,1296.5,1127.5,277.0
73,1109.0,2850.5,959.0,2376.0,1591.0,2962.0,770.0,3223.0,1219.0,1297.0,1127.5,277.0
74,1109.0,2850.5,954.0,2377.0,1591.0,2958.0,772.0,3225.0,1218.0,1297.0,1128.5,277.0
