,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1123.5,2863.0,1126.5,2364.0,1552.5,3118.0,693.0,3115.5,1085.0,270.5,1227.0,1294.0
1,1122.0,2863.5,1126.5,2364.0,1550.0,3118.5,692.0,3116.5,1085.0,270.5,1227.0,1293.5
2,1122.5,2864.0,1127.5,2365.0,1551.0,3117.5,692.5,3117.0,1085.0,271.5,1227.5,1294.5
3,1122.5,2864.0,1128.0,2364.5,1550.5,3118.0,691.5,3116.0,1085.0,270.5,1227.5,1293.5
4,1122.5,2863.0,1127.0,2364.5,1551.0,3118.5,691.5,3116.0,1085.0,271.5,1227.0,1295.0
5,1124.5,2864.0,1128.0,2364.5,1552.0,3118.5,692.5,3116.0,1086.0,271.5,1227.5,1294.5
6,1124.0,2864.5,1128.0,2363.5,1552.0,3117.5,693.0,3116.5,1086.0,271.5,1228.5,1295.5
7,1123.5,2864.0,1127.0,2364.5,1551.0,3117.5,693.0,3116.5,1085.5,271.0,1227.5,1294.5
8,1123.5,2865.0,1128.0,2364.5,1551.0,3118.5,692.5,3117.0,1087.0,272.0,1227.5,1294.5
9,1123.5,2865.0,1127.0,2364.5,1550.5,3118.0,692.5,3117.0,1085.5,272.0,1227.5,1294.5
10,1122.5,2865.0,1126.0,2363.5,1551.5,3119.0,691.5,3117.0,1085.5,272.0,1228.5,1295.5
11,1123.5,2865.0,1127.0,2364.5,1552.0,3119.5,692.5,3117.0,1085.5,272.0,1228.0,1294.0
12,1123.5,2865.0,1127.0,2364.5,1552.0,3118.5,691.5,3117.0,1085.5,272.5,1227.5,1294.5
13,1123.5,2865.0,1127.0,2364.5,1552.0,3118.5,692.5,3117.0,1086.5,272.5,1227.5,1295.5
14,1123.5,2865.0,1127.0,2364.5,1551.5,3119.0,692.5,3117.0,1086.0,272.0,1228.0,1295.0
15,1123.5,2865.0,1127.0,2364.5,1552.5,3119.0,692.5,3117.0,1087.0,271.5,1227.5,1294.5
16,1123.5,2864.0,1127.0,2364.5,1552.5,3118.0,692.5,3117.0,1086.0,271.0,1227.5,1295.5
17,1123.5,2864.0,1127.0,2364.5,1551.5,3119.0,692.5,3117.0,1086.0,270.5,1228.5,1294.5
18,1123.5,2864.0,1127.0,2364.5,1551.5,3119.0,691.5,3116.0,1085.0,271.0,1227.5,1294.5
19,1123.5,2864.0,1127.0,2363.5,1552.5,3118.0,692.5,3116.0,1086.0,271.0,1228.0,1294.0
20,1123.5,2864.0,1127.0,2364.5,1551.5,3118.0,692.5,3117.0,1085.5,270.5,1227.0,1294.0
21,1123.5,2864.0,1127.0,2364.5,1552.5,3119.0,692.5,3117.0,1086.5,272.5,1227.0,1294.0
22,1123.5,2865.0,1128.0,2364.5,1552.0,3118.5,692.5,3116.0,1085.5,271.5,1227.0,1294.5
23,1123.5,2864.0,1127.0,2363.5,1552.0,3118.5,691.5,3116.0,1086.0,271.0,1227.0,1294.5
24,1123.5,2864.0,1127.0,2364.5,1552.0,3118.5,692.5,3116.0,1085.0,271.0,1227.5,1294.5
25,1123.5,2864.0,1127.0,2363.5,1552.0,3118.5,692.5,3116.0,1085.0,271.0,1227.0,1294.5
26,1123.5,2864.0,1127.5,2364.0,1551.0,3117.5,691.5,3116.0,1085.0,270.0,1227.0,1293.5
27,1123.5,2864.0,1128.0,2363.5,1551.0,3117.5,692.5,3116.0,1086.5,270.5,1228.0,1293.5
28,1123.5,2864.0,1127.0,2364.5,1550.5,3117.0,692.5,3116.0,1087.0,271.0,1227.5,1293.5
29,1123.5,2864.0,1127.0,2363.5,1551.5,3118.0,691.5,3115.0,1087.0,270.0,1227.5,1294.5
30,1123.5,2864.0,1128.0,2363.5,1552.5,3118.0,692.5,3115.0,1089.0,270.0,1228.5,1293.5
31,1122.5,2864.0,1126.0,2363.5,1552.0,3118.5,692.5,3116.0,1089.5,270.5,1227.5,1294.5
32,1122.5,2864.0,1119.0,2363.5,1555.0,3112.5,694.5,3121.0,1091.0,270.0,1227.5,1293.5
33,1122.5,2864.0,1112.0,2363.5,1558.0,3106.5,697.5,3129.0,1092.0,270.0,1227.0,1294.0
34,1121.5,2864.0,1105.0,2364.5,1560.0,3100.5,701.5,3133.0,1093.0,270.0,1227.5,1293.5
35,1121.5,2864.0,1101.0,2363.5,1561.0,3097.5,702.5,3135.0,1094.0,270.0,1227.5,1293.5
36,1123.0,2863.5,1100.0,2364.5,1564.0,3094.5,705.5,3139.0,1096.0,271.0,1227.5,1294.5
37,1121.5,2864.0,1096.0,2364.5,1564.0,3090.5,706.5,3142.0,1096.5,270.5,1227.5,1293.5
38,1122.5,2863.0,1091.0,2364.5,1566.0,3086.5,708.5,3146.0,1099.0,270.5,1227.5,1293.5
39,1121.5,2863.0,1086.0,2364.5,1570.0,3082.5,711.5,3149.0,1099.0,271.0,1228.0,1294.0
40,1122.5,2863.0,1082.0,2364.5,1570.0,3078.5,714.5,3153.0,1100.5,271.5,1227.5,1293.5
41,1121.5,2863.0,1078.5,2366.0,1572.0,3074.5,716.5,3156.0,1102.0,271.0,1227.5,1293.5
42,1121.5,2863.0,1074.5,2366.0,1574.0,3070.5,718.5,3158.0,1103.0,271.0,1227.5,1293.5
43,1122.5,2863.0,1070.5,2367.0,1575.0,3066.5,720.5,3162.0,1103.5,270.5,1228.0,1294.5
44,1121.5,2863.0,1066.5,2368.0,1576.0,3062.5,723.5,3166.0,1106.0,271.5,1227.0,1294.0
45,1121.5,2863.0,1061.5,2368.0,1579.0,3059.5,726.5,3170.0,1106.0,271.5,1226.0,1294.0
46,1121.5,2863.0,1058.5,2368.0,1580.0,3055.5,728.5,3173.0,1107.0,271.5,1226.5,1293.5
47,1121.5,2863.0,1054.5,2369.0,1582.0,3051.5,730.5,3176.0,1108.0,271.5,1226.0,1294.0
48,1122.5,2863.0,1050.5,2369.0,1582.0,3047.5,732.5,3179.0,1109.0,271.0,1226.0,1293.0
49,1121.5,2863.0,1047.5,2369.0,1583.0,3045.5,734.5,3182.0,1111.0,270.5,1225.5,1293.5
50,1121.5,2863.0,1043.5,2369.0,1584.0,3042.5,737.5,3183.0,1111.0,270.5,1226.5,1294.5
51,1121.5,2863.0,1040.5,2370.0,1585.0,3038.5,738.5,3186.0,1111.0,271.0,1226.5,1293.5
52,1121.5,2863.0,1037.5,2371.0,1587.0,3035.5,740.5,3188.0,1113.0,271.0,1226.0,1294.0
53,1121.5,2863.0,1034.5,2371.0,1588.0,3032.5,742.5,3191.0,1114.0,271.5,1225.5,1293.5
54,1120.5,2863.0,1030.5,2372.0,1588.0,3028.5,743.5,3193.0,1115.0,270.5,1225.5,1294.5
55,1121.5,2862.0,1027.5,2372.0,1589.0,3026.5,746.5,3195.0,1117.0,270.5,1225.5,1294.5
56,1120.5,2862.0,1024.5,2372.0,1591.0,3022.5,748.5,3198.0,1117.0,271.0,1225.5,1294.5
