,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1109.5,2852.0,1538.0,3107.5,676.5,3105.5,1109.5,2352.0,1081.0,277.5,1225.5,1295.5
1,1109.5,2852.0,1537.5,3108.0,677.0,3106.0,1110.0,2352.5,1081.5,278.0,1226.5,1296.5
2,1110.5,2853.0,1537.5,3108.0,677.0,3106.0,1111.0,2353.5,1082.0,277.5,1227.5,1296.5
3,1110.5,2853.0,1537.5,3108.0,677.0,3106.0,1111.0,2353.5,1082.0,277.5,1226.5,1296.5
4,1109.0,2852.5,1537.5,3108.0,676.0,3104.5,1110.0,2352.5,1082.0,277.5,1226.5,1296.5
5,1109.5,2852.0,1536.5,3109.0,676.0,3104.5,1110.0,2353.5,1081.5,278.0,1226.0,1296.0
6,1108.5,2853.0,1537.5,3109.0,675.5,3105.5,1110.0,2352.5,1081.0,278.5,1226.0,1297.0
7,1109.5,2852.0,1536.0,3107.5,676.5,3105.5,1109.5,2353.0,1081.0,277.5,1225.5,1296.5
8,1109.5,2853.0,1537.5,3109.0,677.0,3106.0,1109.5,2353.0,1081.5,278.0,1226.0,1297.0
9,1109.5,2853.0,1537.5,3109.0,677.5,3106.5,1110.0,2352.5,1081.5,278.0,1226.0,1297.0
10,1109.5,2853.0,1536.5,3109.0,677.0,3106.5,1109.5,2353.0,1081.0,277.5,1226.0,1297.0
11,1109.0,2853.5,1537.5,3109.0,676.5,3105.5,1109.5,2353.0,1080.5,278.0,1226.5,1296.5
12,1109.0,2852.5,1536.5,3109.0,676.5,3106.5,1110.0,2352.5,1081.0,277.5,1226.0,1297.0
13,1109.0,2852.5,1537.0,3108.5,677.0,3105.5,1110.0,2352.5,1081.5,278.0,1226.0,1298.0
14,1108.5,2852.0,1536.5,3109.0,676.5,3105.5,1110.5,2353.0,1081.0,278.5,1226.5,1297.5
15,1109.5,2853.0,1537.0,3108.5,677.0,3106.0,1109.5,2353.0,1081.0,278.5,1226.0,1297.5
16,1110.0,2852.5,1537.5,3109.0,677.5,3106.5,1110.5,2353.0,1081.5,278.0,1226.0,1297.0
17,1109.0,2852.5,1537.5,3108.0,677.5,3106.5,1109.5,2352.0,1081.0,278.5,1226.0,1297.5
18,1109.5,2852.0,1537.5,3108.0,676.5,3106.5,1109.5,2353.0,1081.0,277.5,1227.0,1297.0
19,1109.5,2853.0,1537.5,3108.0,677.5,3106.5,1110.5,2353.0,1082.0,277.5,1227.0,1297.0
20,1109.5,2852.0,1536.5,3108.0,676.5,3106.5,1109.5,2352.0,1081.5,278.0,1226.5,1296.5
21,1109.5,2853.0,1537.5,3108.0,676.5,3106.5,1109.5,2353.0,1081.0,277.5,1226.5,1296.5
