,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1129.0,2879.0,1553.0,3134.5,695.0,3129.0,1127.0,2376.0,1089.5,275.0,1231.5,1290.5
1,1128.5,2878.5,1554.5,3134.0,695.5,3128.5,1128.0,2377.0,1090.0,275.5,1232.0,1291.0
2,1130.0,2881.0,1554.5,3134.0,696.0,3131.0,1129.0,2377.0,1090.5,275.0,1232.5,1291.5
3,1130.0,2881.0,1554.5,3134.5,696.0,3131.0,1129.0,2377.0,1090.5,277.0,1232.5,1291.5
4,1129.0,2881.0,1553.5,3134.5,695.5,3129.5,1128.0,2377.0,1091.0,276.5,1232.5,1290.5
5,1129.0,2881.0,1554.5,3135.0,696.5,3130.5,1128.0,2377.0,1090.0,275.5,1231.5,1291.5
6,1128.5,2880.5,1553.0,3133.5,695.5,3130.5,1127.0,2377.0,1089.0,274.5,1231.5,1290.5
7,1128.5,2880.5,1552.0,3134.5,695.0,3129.0,1126.5,2376.5,1088.5,275.0,1231.0,1291.0
8,1129.5,2881.5,1552.5,3134.0,695.0,3130.0,1127.5,2376.5,1089.5,275.0,1231.0,1291.0
9,1129.5,2881.0,1552.5,3134.0,694.5,3129.5,1127.5,2377.5,1089.0,275.5,1230.5,1290.5
10,1128.0,2880.5,1552.5,3133.5,695.0,3130.0,1127.5,2376.5,1089.0,275.5,1231.5,1291.5
11,1129.0,2880.5,1552.5,3135.0,695.0,3130.0,1127.5,2377.5,1090.0,275.5,1231.0,1291.0
12,1129.0,2881.5,1552.0,3134.5,695.0,3130.0,1127.0,2377.0,1090.0,274.5,1231.5,1291.5
13,1129.0,2881.5,1552.0,3134.5,694.0,3130.0,1127.0,2377.0,1088.5,275.0,1230.5,1291.0
14,1129.5,2881.0,1553.0,3134.5,694.0,3130.0,1127.0,2377.0,1089.5,275.0,1231.0,1291.0
15,1128.0,2880.5,1553.0,3134.5,694.0,3130.0,1127.0,2377.0,1089.0,275.5,1230.5,1290.5
16,1129.0,2880.5,1553.0,3134.5,694.0,3130.0,1127.0,2376.0,1089.5,275.0,1231.5,1290.5
17,1129.0,2880.5,1553.0,3134.5,694.0,3130.0,1127.0,2377.0,1090.0,276.5,1230.5,1291.5
18,1129.0,2881.5,1553.0,3135.5,695.0,3130.0,1127.0,2377.0,1090.5,276.0,1231.5,1291.5
19,1129.0,2880.5,1553.0,3134.5,695.0,3129.0,1127.0,2377.0,1090.0,276.5,1231.5,1291.5
