,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1123.5,2867.5,1124.0,2371.5,1549.0,3122.0,693.5,3118.5,1085.5,276.5,1227.5,1294.5
1,1124.5,2867.5,1125.0,2372.5,1549.0,3122.0,693.5,3118.5,1086.0,277.0,1227.5,1294.5
2,1124.0,2868.0,1124.0,2372.5,1549.0,3123.0,694.0,3119.0,1085.5,277.5,1228.0,1295.0
3,1124.0,2868.0,1125.0,2372.5,1549.0,3123.0,694.0,3119.0,1086.5,277.5,1229.0,1295.0
4,1123.5,2867.5,1125.0,2372.5,1549.5,3123.5,694.0,3119.0,1086.0,277.0,1228.5,1295.5
5,1123.0,2868.0,1124.5,2372.0,1547.5,3122.5,693.0,3119.0,1085.0,277.0,1227.0,1295.0
6,1123.0,2868.0,1124.0,2372.5,1548.5,3122.5,693.0,3119.0,1085.5,277.5,1227.5,1295.5
7,1123.5,2867.5,1124.0,2372.5,1547.5,3123.5,693.0,3119.0,1085.0,277.5,1227.0,1295.0
8,1122.5,2868.5,1124.0,2372.5,1548.5,3123.5,693.0,3119.0,1085.5,277.5,1227.0,1296.0
9,1122.5,2867.5,1124.0,2372.5,1548.0,3123.0,693.0,3119.0,1086.0,278.5,1227.0,1296.0
10,1122.5,2868.5,1124.0,2372.5,1548.0,3123.0,693.5,3118.5,1085.5,278.5,1228.0,1295.0
11,1123.5,2867.5,1125.5,2372.0,1548.5,3122.5,693.0,3119.0,1086.0,277.0,1228.0,1295.0
12,1123.5,2867.5,1124.0,2372.0,1548.5,3122.5,693.5,3119.5,1086.5,277.5,1227.5,1294.5
13,1123.0,2868.0,1124.5,2372.0,1548.5,3122.5,693.0,3119.0,1086.0,277.0,1229.0,1295.0
14,1124.5,2868.5,1125.0,2371.5,1548.5,3123.5,693.0,3119.0,1086.5,278.0,1229.0,1295.0
15,1123.5,2867.5,1125.0,2372.5,1547.5,3122.5,693.0,3118.0,1086.0,277.5,1228.5,1295.5
16,1123.5,2868.5,1125.0,2372.5,1548.5,3122.5,693.0,3118.0,1086.0,278.0,1227.5,1295.5
17,1123.5,2867.5,1126.0,2372.5,1548.5,3122.5,694.0,3119.0,1087.0,277.5,1228.5,1295.5
18,1123.5,2867.5,1125.0,2372.5,1548.5,3123.5,693.0,3119.0,1087.0,277.5,1228.5,1295.5
