,centerx,centery,circle_x1,circle_y1,circle_x2,circle_y2,circle_x3,circle_y3,rect_x4,rect_y4,rect_x5,rect_y5
0,1124.0,2871.5,1550.0,3123.5,696.0,3119.0,1127.0,2371.5,1085.5,277.5,1232.5,1292.5
1,1124.0,2870.5,1549.5,3124.0,696.0,3118.0,1127.5,2370.0,1084.5,277.5,1233.5,1291.5
2,1125.0,2871.0,1550.0,3124.5,696.5,3118.5,1127.0,2370.5,1086.5,277.5,1232.5,1291.5
3,1125.0,2871.0,1549.5,3124.0,696.5,3119.5,1126.5,2370.0,1085.0,276.5,1233.5,1291.5
4,1124.0,2871.0,1549.5,3124.0,696.0,3119.0,1126.0,2370.5,1085.0,276.5,1233.0,1292.0
5,1125.0,2871.0,1549.5,3125.0,696.0,3119.0,1127.0,2370.5,1085.5,276.5,1233.5,1292.5
6,1124.5,2872.0,1550.5,3125.0,696.0,3119.0,1127.0,2371.5,1086.0,276.5,1233.0,1292.0
7,1125.0,2871.0,1549.5,3124.0,695.5,3118.5,1126.5,2371.0,1085.0,276.5,1233.0,1292.0
8,1124.5,2872.0,1549.5,3124.0,696.0,3119.0,1126.5,2371.0,1085.5,277.0,1233.5,1292.5
9,1124.5,2872.0,1549.0,3124.5,696.5,3119.5,1126.5,2371.0,1085.5,277.0,1233.0,1292.0
10,1125.0,2871.5,1549.0,3124.5,696.5,3118.5,1126.0,2370.5,1085.5,277.0,1233.0,1292.0
11,1124.0,2871.5,1549.5,3125.0,695.5,3119.5,1126.0,2371.5,1084.5,277.0,1233.0,1292.5
12,1124.0,2871.5,1549.0,3124.5,696.5,3119.5,1126.5,2371.0,1085.0,277.5,1233.0,1292.5
13,1124.0,2871.0,1549.5,3125.0,696.5,3119.5,1126.5,2370.0,1084.5,277.5,1233.0,1292.5
14,1124.5,2872.0,1549.0,3124.5,696.5,3119.5,1126.5,2370.0,1085.0,277.0,1233.5,1293.0
